ID,smiles,method,method_label,init_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,final_score,sweet_gate_pass,pred_logsw_pass,ood_pass,pre_docking_goldlike,vina_kcal_mol,real_vina_supported,gold_real_vina,canonical_smiles,molecule_panel_rank
A_seed2030_final_top3,CN1C(=O)C23C(=O)N(C)C14CN2C(=O)C(c1csc(N)n1)N34,A,Random-Seeded Latent GA,group_a_random,2030,3,0.9878536462783812,3.594949245452881,6.881726264953613,4.088876247406006,True,True,True,True,-8.1,True,True,CN1C(=O)C23C(=O)N(C)C14CN2C(=O)C(c1csc(N)n1)N34,1
A_seed2026_final_top9,N#Cc1cc2cc(F)c1N(C(=O)NC=NCC1CC1)N2C(=O)c1cccnc1,A,Random-Seeded Latent GA,group_a_random,2026,9,0.9138116240501404,3.12464451789856,6.348336696624756,3.581550359725952,True,True,True,True,-9.792,True,True,N#Cc1cc2cc(F)c1N(C(=O)NC=NCC1CC1)N2C(=O)c1cccnc1,2
A_seed2029_final_top6,COC(=O)C=C(C)N=CN1C(=O)n2[nH]c(=O)c(c2=CC=C(C)C(C)=O)=C1N,A,Random-Seeded Latent GA,group_a_random,2029,6,0.9863411784172058,3.0514369010925293,6.000625133514404,3.544607400894165,True,True,True,True,-7.721,True,True,COC(=O)C=C(C)N=CN1C(=O)n2[nH]c(=O)c(c2=CC=C(C)C(C)=O)=C1N,3
A_seed2027_final_top5,O=C1c2cn(c3cc(Cl)ccc23)C12NCCCO2,A,Random-Seeded Latent GA,group_a_random,2027,5,0.9674147367477416,2.758729934692383,5.801705837249756,3.2424373626708984,True,True,True,True,-7.798,True,True,O=C1c2cn(c3cc(Cl)ccc23)C12NCCCO2,4
A_seed2028_final_top8,COc1ccccc1C12CCC3C(N1)N1C(O)C32CS1(=O)=O,A,Random-Seeded Latent GA,group_a_random,2028,8,0.9312247037887572,2.638659715652466,6.486084938049316,3.1042721271514893,True,True,True,True,-8.244,True,True,COc1ccccc1C12CCC3C(N1)N1C(O)C32CS1(=O)=O,5
B_seed2030_final_top3,CCN1C2=C3OC(=O)C45N2N=CN4c2cc1n5c23,B,SweetDB-Seeded Latent GA,group_b_dataset,2030,3,0.9418442249298096,3.771307468414306,6.225666999816895,4.222229461669922,True,True,True,True,-6.965,True,True,CCN1C2=C3OC(=O)C45N2N=CN4c2cc1n5c23,1
B_seed2028_final_top2,COP(=O)(O)C=C1CN2C(=O)C3=CN1CC2(c1ccc(Cl)cc1)N3,B,SweetDB-Seeded Latent GA,group_b_dataset,2028,2,0.9967304468154908,3.555516242980957,6.712001800537109,4.053881645202637,True,True,True,True,-7.948,True,True,COP(=O)(O)C=C1CN2C(=O)C3=CN1CC2(c1ccc(Cl)cc1)N3,2
B_seed2028_final_top3,CC1=CC(Cl)=P(OCP(=O)(O)O)(C23CC4NC(=N2)CN4C3)OC1,B,SweetDB-Seeded Latent GA,group_b_dataset,2028,3,0.902191996574402,3.5191521644592285,7.01793909072876,3.970248222351074,True,True,True,True,-7.199,True,True,CC1=CC(Cl)=P(OCP(=O)(O)O)(C23CC4NC(=N2)CN4C3)OC1,3
B_seed2027_final_top5,Cc1cc(Sc2ccc(C(=O)OCC(C)C)cc2)n(CC(=O)Oc2ccc(Cl)cc2Cl)c1C,B,SweetDB-Seeded Latent GA,group_b_dataset,2027,5,0.9648182988166808,3.3579843044281006,6.896540641784668,3.780393543243408,True,True,True,True,-7.517,True,True,Cc1cc(Sc2ccc(C(=O)OCC(C)C)cc2)n(CC(=O)Oc2ccc(Cl)cc2Cl)c1C,4
B_seed2027_final_top8,CC(C)=CC=CN1C23OC(=O)C14C(C)C(=O)N2C4(C)c1cc3cc(C=O)c1Cl,B,SweetDB-Seeded Latent GA,group_b_dataset,2027,8,0.9179667830467224,3.25299334526062,6.991572380065918,3.711976766586304,True,True,True,True,-9.422,True,True,CC(C)=CC=CN1C23OC(=O)C14C(C)C(=O)N2C4(C)c1cc3cc(C=O)c1Cl,5
C_seed2029_final_top1,COC(=O)C(Cc1ccccc1)N(Cc1ccco1)C(=O)CCC(=O)O,C,LLM-Initialized Latent GA,group_c_llm,2029,1,0.9999423027038574,3.260448217391968,5.586365222930908,3.760419368743897,True,True,True,True,-7.448,True,True,COC(=O)C(Cc1ccccc1)N(Cc1ccco1)C(=O)CCC(=O)O,1
C_seed2029_final_top2,COCCOc1ccccc1CCN(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,C,LLM-Initialized Latent GA,group_c_llm,2029,2,0.999901533126831,3.2187066078186035,6.518313407897949,3.7186574935913086,True,True,True,True,-7.292,True,True,COCCOc1ccccc1CCN(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,2
C_seed2026_final_top1,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,C,LLM-Initialized Latent GA,group_c_llm,2026,1,0.9995546936988832,3.215105533599853,4.549036026000977,3.7148828506469727,True,True,True,True,-6.926,True,True,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,3
C_seed2029_final_top3,COC(=O)C1(Cc2ccccc2)NC(=O)C2(NC(=O)NC2C(=O)O)N1C(=O)C(N)CC(=O)O,C,LLM-Initialized Latent GA,group_c_llm,2029,3,0.9999626874923706,3.1425106525421143,5.833141326904297,3.642492055892944,True,True,True,True,-8.36,True,True,COC(=O)C1(Cc2ccccc2)NC(=O)C2(NC(=O)NC2C(=O)O)N1C(=O)C(N)CC(=O)O,4
C_seed2030_final_top1,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,C,LLM-Initialized Latent GA,group_c_llm,2030,1,0.9999513626098632,3.139059543609619,5.508672714233398,3.639035224914551,True,True,True,True,-8.073,True,True,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,5
D_seed2030_final_top1,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,D,Iterative LLM-Guided Latent GA,group_d_llm_iterative,2030,1,0.9999513626098632,3.139059543609619,5.508672714233398,3.639035224914551,True,True,True,True,-8.073,True,True,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,1
D_seed2030_final_top2,COC(=O)C12NC(=O)C3C(C(=O)O)N(C(=O)N31)C2c1ccccc1,D,Iterative LLM-Guided Latent GA,group_d_llm_iterative,2030,2,0.9990434050559998,3.114098072052002,5.1639404296875,3.613619804382324,True,True,True,True,-7.957,True,True,COC(=O)C12NC(=O)C3C(C(=O)O)N(C(=O)N31)C2c1ccccc1,2
D_seed2026_final_top1,COC(=O)C(Cc1ccccc1)CN(CCc1ccccc1)C(=O)c1ccccc1,D,Iterative LLM-Guided Latent GA,group_d_llm_iterative,2026,1,0.9993896484375,3.1589372158050537,6.1431379318237305,3.598632040023804,True,True,True,True,-7.659,True,True,COC(=O)C(Cc1ccccc1)CN(CCc1ccccc1)C(=O)c1ccccc1,3
D_seed2026_final_top4,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,D,Iterative LLM-Guided Latent GA,group_d_llm_iterative,2026,4,0.9999704360961914,3.0550432205200195,5.751447677612305,3.5550284385681152,True,True,True,True,-7.369,True,True,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,4
D_seed2029_final_top4,CC1N2CC3N4C(=O)C(=O)N5C(=O)CCC16C31SCC(N1C2=O)C546,D,Iterative LLM-Guided Latent GA,group_d_llm_iterative,2029,4,0.8956556916236877,3.0623204708099365,6.237760066986084,3.490148286819458,True,True,True,True,-8.763,True,True,CC1N2CC3N4C(=O)C(=O)N5C(=O)CCC16C31SCC(N1C2=O)C546,5
